Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Kinesis S.a.s.,2621920.0,Italy,https://www.linkedin.com/company/kinesis-s.a.s.,www.maranelloeyes.com,"Kinesis designes, produces and sells Sport Eyewear with the brand Maranello",Italy,2.62192,,,
Mondello 1962,958104.0,"Italy, Latium, Roma, Via Gregorio Vii, 00165",https://www.linkedin.com/company/mondello-1962,www.mondello1962.com,"A boutique that unleashed all our passion for the world of eyewear. A universe in constant change, now explored with increasingly innovative brands, Jacques Marie Mage, Kuboraum, Vava, Balmain x Akoni, Theo, Masunaga and many others.  Research and know-how are the auctions that support our front. From straight to exclusive silhouettes and winks at a new concept of work that breaks down generational boundaries",Italy,0.958104,,,
Aldo Cafiero Holding Srl - Cafiero Srl,1747947.0,"Italy, Belluno, Limana, 20 Via U.bracalenti, 32020",https://www.linkedin.com/company/cafiero-srl,www.cafiero.org,"La Studio Promozionali nasce nel 1980, nel Bellunese, creata da Guido Cafiero, la moglie Ester Baldi, e il figlio Aldo Cafiero, opera nello studio e progettazione del packaging per la gioielleria e bigiotteria di alta gamma. Dal 1996 si concentra sulla produzione degli astucci per occhiali e accessori di occhialeria, brevettando molti dei prodotti che oggi risultano tra i più richiesti dal mercato; nello stesso anno avvia una produzione nella Repubblica Ceca. Nel 2003 avviene un processo di rebranding con il passaggio di consegne alla seconda generazione; il figlio Aldo Cafiero,  trasforma Studio Promozionali, in Cafiero Srl, trasferisce la produzione in un nuovo e moderno stabilimento di Limana, e crea Ricerca&Sviluppo, divisione dedicata alla guida tecnica e al futuro dei nuovi prodotti. Il settore occhialeria per Cafiero srl rappresenta il 60% del suo volume d’affari e la vede collaborare con alcune tra le più importanti realtà produttive dell'occhialeria come Luxottica, Safilo, De Rigo, Marcolin, Silhouette; permettendo all'Azienda Cafiero di creare e produrre per i più quotati marchi internazionali della moda. Dal 2009 una nuova entità produttiva nel Guangdong, a sud della Cina, a totale capitale italiano, caso definito raro. Nel 2010 è inserita I.E.S. di Hong Kong Società di Trading che gestisce anche la logistica e i trasporti in l'Oriente e per Europa, U.S.A., Medio Oriente, Oceania. La sede in Italia, con Ricerca&Sviluppo, ha fatto e continua a fare importanti investimenti nella ricerca per offrire il meglio in fatto di design e materiali ecocompatibili. Nel 2011 nasce la nuova linea di packaging per Food and Beverage con un occhio di riguardo al mondo vino (www.cafierowinepack.com), prodotti che si presentano sul mercato con un design innovativo e raffinato, che strizza l'occhio al mercato delle borse di tendenza. Nel 2014 viene costituita la Aldo Cafiero Holding srl, che sta lavorando appassionatamente alla realizzazione di una nuova linea di alta moda.",Italy,1.747947,,,
Sea2see Eyewear,3778543.0,"Spain, Catalonia, Barcelona, 12 Passeig De Manuel Girona, 08034",https://www.linkedin.com/company/sea2see-eyewear,www.sea2see.org,"Plastic in our oceans is one of the most important environmental issues. Sea2See, through its foundation, aims to collect and recycle marine plastic to create seastainable eyewear frames and watches. At Sea2See, we believe in making positive waves. We give value to waste to create a sustainable and scalable solution that reduces marine plastic, raises public awareness, and improves the lives of marginalised coastal communities living in biodiversity hotspots of developing countries. The plastic we collect from the most polluted beaches in Africa (Ghana) is sent to Italy for the handmade production of our glasses and sunglasses and to Switzerland to produce our watches. 1 product sold = 1 kg marine plastic recycled ♻️ Follow us on Instagram @sea2see_legacy and @sea2see_foundation https://www.sea2seefoundation.org",Spain,3.778543,,,
ISTITUTO OTTICO ISOLANI S.R.L.,25345231.0,"Italy, Liguria, Genoa, 75 Rosso Corso Buenos Ayres, 16129",https://www.linkedin.com/company/istituto-ottico-isolani-s.r.l.,www.isolani.com,COMMERCIO AL MINUTO APPARECCHI OTTICI OPTOMETRICI IN GENERE ED ACCESSORI DAL 1929,Italy,25.345231,,,
Logoproject Design Srl,1771306.0,Italy,https://www.linkedin.com/company/logoproject-design-srl,logoprojecteyewear.com,"Logoproject Design is the flagship company that has been operating in the eyewear market for more than 20 years and has a state-of-the-art design office for the design and production of eyewear collections. Based in Rome, Italy, the all-Italian team passionately pursues the company's mission: ""to enter into the spirit of each market, to know, to taste, to digest trends, thoughts, smells to share and finally to create the exclusive eyewear line for each customer, suitable for each country, in the excellence of Made in Italy.""  Careful attention to the materials used goes hand in hand with experimental and innovative manufacturing techniques. Many years of experience guarantee designers and managers who are attentive to the study of the market and able to develop winning products and strategies in Italy and abroad.  The professionalism of our team has led the company, in recent years, to be among the selected suppliers for the development of branded collections of the largest Italian and foreign chain shops.  Since 2008 Logoproject design has been the worldwide licensee of the ROMEO GIGLI brand for the eyewear sector.",Italy,1.771306,,,
Dr Fish Co.,958104.0,Spain,https://www.linkedin.com/company/dr-fish-co.,www.drfish.es,"Empresa dedicada al diseño de calzado y complementos de moda, especializada en la venta online de alpargatas y gafas de sol.",Spain,0.958104,,,
Mila Schon,2390897.0,Italy,https://www.linkedin.com/company/mila-schon,www.milaschon.com,"Un tema che ha sempre caratterizzato le creazioni Mila Schön è il forte rapporto fra ricerca artistica e progettazione moda. Le onde, i cerchi concentrici e colorati, gli chevron taglienti lavorati ad intarsio su double e maglieria suggeriti dalle opere di Noland, i giochi ottici e geometrici di Mondrian, i mobiles di Calder, Klimt e le sue astrazioni, Albers, le ispirazioni persiane, il dripping di Pollock, la moltiplicazione dell’immagine di  Vasarely  e le sperimentazioni di Fontana, con i celebri tagli che si riproducono nell’abito essenziale, scarno, pensato come la tela dell’artista: puro supporto per l’immagine.  Rigore di costruzione, dunque, dove il taglio è naturale evoluzione  delle linee,  geometrie di partenza che si sviluppano in una silhouette sobria ed essenziale, dove l’eleganza è sempre in stretto rapporto con l’eccezionalità del tessuto, la scelta cromatica precisa e riconoscibile e la realizzazione del progetto moda non è mai asservita al capriccio della creazione fine a se stessa, ma da sempre concepito nella dimensione reale di un presente proiettato verso il futuro.    “Io noto solo il brutto delle cose, eliminandolo rimane il bello”. Così Mila Schön, la fondatrice del marchio, ama rispondere quando le chiedono cos’è per lei la bellezza. La sua moda definita in passato “Alta Moda Pronta”  ha un identità precisa e definita: essenzialità e pulizia delle linee.",Italy,2.390897,,,
UNIQBROW,439845.0,"Spain, Catalonia, Barcelona, 9 Calle Montsio, 08002",https://www.linkedin.com/company/uniqbrow,www.uniqbrow.com,"We met on this Island, Lopud, Croatia in 2010. Since then we have traveled to 14 countries, and lived in 5 cities. We believe travel isn’t about selfies, monuments, or status. It’s about living, discomfort, and stories.   At a time when we have access to any information at our finger tips, travel is where we really learn about ourselves and the people around us.   We are restless travelers exploring the world, and we wanted sunglasses that traveled like us. We engineer sunglasses that let you get the most out of every journey. Using innovative QUIROFLEX smart material, our glasses are all terrain travel companions.  When you travel, everything you carry has a purpose. We work together with you, our customers, to constantly upgrade and optimize our glasses for your travel needs.   We create sunglasses using innovative materials that let you focus on your journey. Our sunglasses are extremely lightweight (no nose marks!), flexible, reinforced with TR-90, resistant to extreme temperatures, easy to clean, and with scratch resistant polarized lenses.   Our glasses have traveled to 72 countries, where will you take them? UNIQBROW is made in Barcelona, a hub for travel, tourism, design, and culture. 14.5 million people visit our city each year. From our first store we have met people from dozens of countries. UNIQBROW glasses are made for the most extreme adventure, or the most relaxed strolls, our glasses can handle absolutely anything.   You can rest easy knowing that even if you push to hard and something breaks our frames are guaranteed for life. Just send us an email to info@uniqbrow.com and we will take care of you!",Spain,0.439845,,,
LEKO Brand,958104.0,"Portugal, Porto, Porto",https://www.linkedin.com/company/lekobrand,www.lekobrand.com,"Founded in 2020, LEKO is a brand born in Porto.  We discovered in fashion a solution for the overexposure to blue-light coming from screens, by providing our customer with high quality anti-blue light glasses. We share a vision of continuous growth sustained by our dedicated people and updated innovation. We want our values to always be reflected in the way we act as a brand keeping up with the constant evolution of our digital generation. Every day we work together to become a brand that strives for success and is always close to its customer. We want the customer to identify himself not only with our products but also with the way we think and see the world. It has been and it is always going to be very important for us, to stand a mark and motivate people to pursue and achieve their dreams. Keep your eyes on us: - Instagram: @lekobrand - Facebook: @lekobrand - TikTok: @lekobrand Check out our new products at: www.lekobrand.com",Portugal,0.958104,,,
